GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cb-discussion-service,com.igot.cb.config,ConsumerConfiguration,0,89,0,0,0,19,0,4,0,4
cb-discussion-service,com.igot.cb.config,ProducerConfiguration,0,34,0,0,0,7,0,3,0,3
cb-discussion-service,com.igot.cb.pores.exceptions,ErrorResponse.ErrorResponseBuilder,8,28,0,0,0,1,1,5,1,5
cb-discussion-service,com.igot.cb.pores.exceptions,ErrorResponse,105,25,22,0,1,4,14,5,3,5
cb-discussion-service,com.igot.cb.pores.exceptions,CustomException,15,21,0,0,3,8,4,4,4,4
cb-discussion-service,com.igot.cb.pores.exceptions,RestExceptionHandling,9,78,3,5,3,26,3,4,0,3
cb-discussion-service,com.igot.cb.authentication.model,KeyData,8,15,0,0,4,6,2,3,2,3
cb-discussion-service,com.igot.cb.metrics.service,ApiMetricsTracker.ApiMetrics,0,75,0,0,0,13,0,4,0,4
cb-discussion-service,com.igot.cb.metrics.service,ApiMetricsTracker.ApiMetricsResponse,9,29,0,0,3,13,3,8,3,8
cb-discussion-service,com.igot.cb.metrics.service,ApiMetricsTracker.DbMetricsResponse,12,47,0,0,4,21,4,13,4,13
cb-discussion-service,com.igot.cb.metrics.service,ApiMetricsTracker.DbMetrics,0,105,0,0,0,15,0,4,0,4
cb-discussion-service,com.igot.cb.metrics.service,ApiMetricsTracker,3,80,0,0,1,19,1,11,1,11
cb-discussion-service,com.igot.cb.profanity.impl,ProfanityCheckServiceImpl,0,94,0,0,0,17,0,2,0,2
cb-discussion-service,com.igot.cb.transactional.exceptions,CassandraPropertyReaderException,5,0,0,0,2,0,1,0,1,0
cb-discussion-service,com.igot.cb.metrics.controller,ApiMetricsController,0,18,0,0,0,8,0,4,0,4
cb-discussion-service,com.igot.cb.transactional.cassandrautils,CassandraUtil,31,146,0,8,3,31,3,9,3,5
cb-discussion-service,com.igot.cb.transactional.cassandrautils,CassandraConnectionManagerImpl.ResourceCleanUp,16,20,2,2,5,7,2,2,0,2
cb-discussion-service,com.igot.cb.transactional.cassandrautils,CassandraOperationImpl,201,616,22,18,51,124,15,21,1,15
cb-discussion-service,com.igot.cb.transactional.cassandrautils,CassandraConnectionManagerImpl,211,88,10,2,53,28,9,6,3,6
cb-discussion-service,com.igot.cb.transactional.cassandrautils,CassandraPropertyReader.Holder,0,5,0,0,0,1,0,1,0,1
cb-discussion-service,com.igot.cb.transactional.cassandrautils,CassandraPropertyReader,23,35,1,1,5,12,2,4,1,4
cb-discussion-service,com.igot.cb.transactional.cassandrautils,CassandraConfig,0,25,0,0,0,10,0,7,0,7
